
taskID: 91, robotID: 3, action: 2.0, startPos: [ 4 13], goalPos: [ 4 14], time: 18, 
taskID: 92, robotID: 3, action: 0.0, startPos: [ 4 14], goalPos: [ 4 14], time: 19, 
taskID: 93, robotID: 3, action: 0.0, startPos: [ 4 14], goalPos: [ 4 14], time: 20, 
taskID: 94, robotID: 3, action: 0.0, startPos: [ 4 14], goalPos: [ 4 14], time: 21, 
taskID: 95, robotID: 3, action: 0.0, startPos: [ 4 14], goalPos: [ 4 14], time: 22, 
taskID: 96, robotID: 3, action: 0.0, startPos: [ 4 14], goalPos: [ 4 14], time: 23, 
taskID: 97, robotID: 4, action: 1.0, startPos: [5 3], goalPos: [6 3], time: 0, 
taskID: 98, robotID: 4, action: 2.0, startPos: [6 3], goalPos: [6 4], time: 1, 
taskID: 99, robotID: 4, action: 2.0, startPos: [6 4], goalPos: [6 5], time: 2, 
taskID: 100, robotID: 4, action: 1.0, startPos: [6 5], goalPos: [7 5], time: 3, 
taskID: 101, robotID: 4, action: 2.0, startPos: [7 5], goalPos: [7 6], time: 4, 
taskID: 102, robotID: 4, action: 2.0, startPos: [7 6], goalPos: [7 7], time: 5, 
taskID: 103, robotID: 4, action: 3.0, startPos: [7 7], goalPos: [6 7], time: 6, 
taskID: 104, robotID: 4, action: 2.0, startPos: [6 7], goalPos: [6 8], time: 7, 
taskID: 105, robotID: 4, action: 3.0, startPos: [6 8], goalPos: [5 8], time: 8, 
taskID: 106, robotID: 4, action: 0.0, startPos: [5 8], goalPos: [5 8], time: 9, 
taskID: 107, robotID: 4, action: 2.0, startPos: [5 8], goalPos: [5 9], time: 10, 
taskID: 108, robotID: 4, action: 2.0, startPos: [5 9], goalPos: [ 5 10], time: 11, 
taskID: 109, robotID: 4, action: 1.0, startPos: [ 5 10], goalPos: [ 6 10], time: 12, 
taskID: 110, robotID: 4, action: 2.0, startPos: [ 6 10], goalPos: [ 6 11], time: 13, 
taskID: 111, robotID: 4, action: 2.0, startPos: [ 6 11], goalPos: [ 6 12], time: 14, 
taskID: 112, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 15, 
taskID: 113, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 16, 
taskID: 114, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 17, 
taskID: 115, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 18, 
taskID: 116, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 19, 
taskID: 117, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 20, 
taskID: 118, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 21, 
taskID: 119, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 22, 
taskID: 120, robotID: 4, action: 0.0, startPos: [ 6 12], goalPos: [ 6 12], time: 23, 
taskID: 121, robotID: 5, action: 1.0, startPos: [12  9], goalPos: [13  9], time: 0, 
taskID: 122, robotID: 5, action: 1.0, startPos: [13  9], goalPos: [14  9], time: 1, 
taskID: 123, robotID: 5, action: 2.0, startPos: [14  9], goalPos: [14 10], time: 2, 
taskID: 124, robotID: 5, action: 2.0, startPos: [14 10], goalPos: [14 11], time: 3, 
taskID: 125, robotID: 5, action: 2.0, startPos: [14 11], goalPos: [14 12], time: 4, 
taskID: 126, robotID: 5, action: 2.0, startPos: [14 12], goalPos: [14 13], time: 5, 
taskID: 127, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 6, 
taskID: 128, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 7, 
taskID: 129, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 8, 
taskID: 130, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 9, 
taskID: 131, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 10, 
taskID: 132, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 11, 
taskID: 133, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 12, 
taskID: 134, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 13, 
taskID: 135, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 14, 
taskID: 136, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 15, 
taskID: 137, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 16, 
