NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
1400,0.4169096209912536,|,208.16002830863,0.9555701613426208,0.09970787167549133,57.32530711591244,58.41599760949612,|,1281300.1875,1281300.1875,77022.9375,72847.4375,72847.4375
1410,0.4127446897126198,|,204.79343646764755,0.9457186013460159,0.10166960954666138,57.92598217725754,58.417203187942505,|,1275439.375,1275439.375,74639.8125,70762.75,70762.75
1420,0.40857975843398586,|,188.53868332505226,0.9307354986667633,0.09262123703956604,58.087778970599174,57.528792187571526,|,1336698.75,1336698.75,77140.125,73196.0625,73196.0625
1430,0.40441482715535193,|,224.04651917517185,0.9999579191207886,0.09953373670578003,60.66508634388447,61.70732560753822,|,1371117.5625,1371117.5625,80190.9375,75966.1875,75966.1875
1440,0.400249895876718,|,215.77367766201496,0.9796916544437408,0.09624709188938141,61.14409473538399,62.01430183649063,|,1388521.125,1388521.125,79712.125,75668.1875,75668.1875
1450,0.42000000000000004,|,216.64939250051975,0.9954225569963455,0.09939318895339966,68.51748378574848,65.92625342309475,|,1383543.6875,1383543.6875,81600.1875,77102.0,77102.0
1460,0.41600000000000004,|,205.39130620658398,0.9726057648658752,0.0990285873413086,59.241169065237045,60.024788588285446,|,1407399.4375,1407399.4375,82465.0625,77959.875,77959.875
1470,0.41200000000000003,|,235.8844654262066,0.9960098117589951,0.10198898613452911,63.677091896533966,63.65710811316967,|,1412735.375,1412735.375,81886.4375,77617.0,77617.0
1480,0.40800000000000003,|,274.90325233340263,1.0650372207164764,0.12243081629276276,68.60734371840954,68.63184705376625,|,1469800.6875,1469800.6875,84005.5,79618.625,79618.625
1490,0.404,|,270.43034003674984,1.1251280456781387,0.12039196491241455,69.94777020812035,68.6376093775034,|,1502215.375,1502215.375,85738.8125,81265.0625,81265.0625
1500,0.4,|,246.61132971942425,1.04385145008564,0.1106206625699997,75.34760595858097,78.20466735959053,|,1532920.0,1532920.0,85448.875,81154.875,81154.875
1510,0.41945405613225684,|,233.12149474024773,1.0487359017133713,0.10516379773616791,88.9218727350235,85.52004809677601,|,1462552.5,1462552.5,85438.5625,80791.1875,80791.1875
1520,0.41560938100730493,|,253.60239939391613,1.1126250177621841,0.11128365993499756,69.2251420468092,72.35279886424541,|,1510137.625,1510137.625,87262.5,82531.6875,82531.6875
1530,0.4117647058823529,|,265.9944330006838,1.154090330004692,0.11409208178520203,69.04029303789139,70.15413276851177,|,1550549.9375,1550549.9375,88658.125,83888.5,83888.5
1540,0.407920030757401,|,267.56566140055656,1.1032419055700302,0.12299562990665436,82.79822216928005,78.45449458062649,|,1587150.875,1587150.875,88713.375,84084.75,84084.75
1550,0.404075355632449,|,286.2788639962673,1.146498665213585,0.12886491417884827,80.5999244749546,77.3618592619896,|,1635370.0,1635370.0,91003.125,86280.875,86280.875
1560,0.4002306805074971,|,301.5510411709547,1.2026259750127792,0.13610856235027313,77.0033462792635,77.69560904800892,|,1675975.0625,1675975.0625,92234.5,87519.625,87519.625
1570,0.4193786982248521,|,289.64435878396034,1.1027664840221405,0.12810125946998596,84.41342586278915,76.55028538405895,|,1615852.8125,1615852.8125,91375.4375,86406.9375,86406.9375
1580,0.415680473372781,|,277.6826798468828,1.1943820714950562,0.12658345699310303,85.38848607242107,86.05728158354759,|,1636833.1875,1636833.1875,92890.875,87787.1875,87787.1875
2000,0.4054696789536266,|,679.5290690511465,2.4566678553819656,0.1835871785879135,172.45903196930885,164.32329685986042,|,2794631.8125,2794631.8125,136945.4375,129709.125,129709.125
