NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
240,0.4,|,0.6762717515230179,0.01175042986869812,0.004687681794166565,0.21309876441955566,0.2251548171043396,|,31610.25,31610.25,4265.5,4024.9375,4024.9375
250,0.4331065759637188,|,0.7889958620071411,0.01196320354938507,0.005138486623764038,0.25144460797309875,0.26375889778137207,|,31636.9375,31636.9375,4378.6875,4108.375,4108.375
260,0.4104308390022676,|,0.8927149176597595,0.013708263635635376,0.005487531423568726,0.29042597115039825,0.3055666983127594,|,36834.9375,36834.9375,4804.0,4525.625,4525.625
270,0.4421487603305785,|,1.026349663734436,0.014509260654449463,0.005836457014083862,0.32721085846424103,0.3422459363937378,|,36748.9375,36748.9375,4984.8125,4667.375,4667.375
280,0.42148760330578516,|,1.1458336859941483,0.01544855535030365,0.006233438849449158,0.3775007277727127,0.3930606096982956,|,39999.75,39999.75,5245.1875,4928.25,4928.25
290,0.40082644628099173,|,1.2060089856386185,0.01692141592502594,0.006431549787521362,0.4104229062795639,0.4299568086862564,|,45516.6875,45516.6875,5656.5,5345.3125,5345.3125
300,0.43289224952741023,|,1.307672068476677,0.01706843078136444,0.006716251373291016,0.449201375246048,0.46879062056541443,|,45204.875,45204.875,5818.125,5466.125,5466.125
310,0.4139886578449905,|,1.4533011615276337,0.01904773712158203,0.007031604647636414,0.500169187784195,0.5230747610330582,|,51890.1875,51890.1875,6340.5,5967.4375,5967.4375
320,0.4444444444444444,|,1.610818862915039,0.019359588623046875,0.007315844297409058,0.578804224729538,0.6018341481685638,|,51759.25,51759.25,6489.875,6071.0625,6071.0625
330,0.42708333333333337,|,1.6670022755861282,0.020488709211349487,0.007464006543159485,0.6019700765609741,0.6258130371570587,|,56626.25,56626.25,6858.625,6441.8125,6441.8125
340,0.4097222222222222,|,1.7386713325977325,0.0224764347076416,0.0076509565114974976,0.6250483244657516,0.6532736271619797,|,63892.375,63892.375,7342.8125,6933.1875,6933.1875
350,0.43999999999999995,|,1.992583006620407,0.022603169083595276,0.008099600672721863,0.7326783835887909,0.7608561217784882,|,62007.25,62007.25,7416.1875,6951.5,6951.5
360,0.42400000000000004,|,2.1877530217170715,0.02468055486679077,0.008663326501846313,0.8133629262447357,0.8419650346040726,|,68132.0,68132.0,7948.125,7477.0625,7477.0625
370,0.40800000000000003,|,2.3856288492679596,0.027343958616256714,0.008972600102424622,0.8799817562103271,0.91472227871418,|,76953.9375,76953.9375,8431.0625,7967.9375,7967.9375
380,0.4378698224852071,|,2.5463902056217194,0.026883915066719055,0.009352639317512512,0.9336488097906113,0.9675487279891968,|,73371.75,73371.75,8418.6875,7904.8125,7904.8125
390,0.42307692307692313,|,2.8284352123737335,0.02952142059803009,0.010112404823303223,1.037769541144371,1.0727551877498627,|,81153.5,81153.5,8984.4375,8453.3125,8453.3125
400,0.40828402366863903,|,3.2195954769849777,0.03199893236160278,0.01082301139831543,1.176195740699768,1.2165042459964752,|,87979.0625,87979.0625,9468.75,8958.25,8958.25
410,0.43758573388203015,|,3.3229724168777466,0.0322728306055069,0.011164173483848572,1.2101189643144608,1.2498632073402405,|,87353.0625,87353.0625,9590.75,8995.9375,8995.9375
420,0.4238683127572016,|,3.6729920357465744,0.03468805551528931,0.011707574129104614,1.345259964466095,1.3882061392068863,|,92485.875,92485.875,9893.9375,9329.625,9329.625
430,0.41015089163237306,|,3.6476916521787643,0.03753218054771423,0.011922270059585571,1.363580510020256,1.4127649068832397,|,103901.875,103901.875,10601.125,10034.125,10034.125
440,0.4387755102040817,|,4.115359857678413,0.037663236260414124,0.012559324502944946,1.5219127237796783,1.5711206644773483,|,100556.75,100556.75,10706.75,10049.5625,10049.5625
450,0.42602040816326525,|,4.350349932909012,0.03940218687057495,0.012894600629806519,1.614187091588974,1.6662205755710602,|,106993.25,106993.25,11160.6875,10513.8125,10513.8125
460,0.41326530612244894,|,4.714881494641304,0.04372532665729523,0.013329297304153442,1.7583514750003815,1.8122165501117706,|,118365.25,118365.25,11957.0625,11289.375,11289.375
470,0.4005102040816326,|,5.116092145442963,0.04593154788017273,0.013775616884231567,1.928469493985176,1.9865832924842834,|,125465.9375,125465.9375,12307.625,11653.9375,11653.9375
480,0.4292508917954816,|,5.065773904323578,0.04444494843482971,0.013905853033065796,1.8912350684404373,1.9525217115879059,|,120279.8125,120279.8125,12243.6875,11528.3125,11528.3125
490,0.41736028537455405,|,5.627051591873169,0.049127399921417236,0.01451370120048523,2.1159733831882477,2.1843955516815186,|,134174.3125,134174.3125,13030.625,12303.8125,12303.8125
500,0.4054696789536266,|,5.687016874551773,0.05213738977909088,0.014684632420539856,2.167785793542862,2.240289270877838,|,142851.25,142851.25,13563.375,12853.0625,12853.0625
510,0.43333333333333335,|,5.8349489867687225,0.051361218094825745,0.014981865882873535,2.212472215294838,2.283845469355583,|,138001.9375,138001.9375,13564.6875,12765.5,12765.5
520,0.4222222222222223,|,6.363902032375336,0.054535821080207825,0.01545804738998413,2.409488618373871,2.482047066092491,|,148161.1875,148161.1875,14187.8125,13404.5625,13404.5625
530,0.4111111111111111,|,7.110878363251686,0.05846692621707916,0.016253173351287842,2.7071909457445145,2.782489463686943,|,154493.6875,154493.6875,14556.625,13751.8125,13751.8125
540,0.4,|,7.0737480372190475,0.061029523611068726,0.016332849860191345,2.700432777404785,2.7801835983991623,|,166030.0625,166030.0625,15189.625,14412.6875,14412.6875
550,0.42767950052029136,|,7.670740514993668,0.06219880282878876,0.016862213611602783,2.9214528053998947,3.0122522860765457,|,162934.0,162934.0,15322.5,14436.9375,14436.9375
560,0.4172736732570239,|,8.282131865620613,0.06486579775810242,0.017772600054740906,3.186078980565071,3.2793322801589966,|,171920.25,171920.25,15818.5,14944.0,14944.0
570,0.40686784599375647,|,8.182941019535065,0.07028794288635254,0.0178384929895401,3.1623139083385468,3.259698763489723,|,184313.6875,184313.6875,16496.625,15634.9375,15634.9375
580,0.43359375,|,10.066159263253212,0.0695442259311676,0.019393056631088257,3.781838834285736,3.872941702604294,|,179442.0,179442.0,16673.25,15687.75,15687.75
590,0.423828125,|,10.260497972369194,0.07676181197166443,0.02009373903274536,3.8507975339889526,3.9489425867795944,|,191704.25,191704.25,17351.0625,16379.125,16379.125
600,0.4140625,|,10.229278862476349,0.07927285134792328,0.020403340458869934,3.9309800565242767,4.042033135890961,|,203608.125,203608.125,17930.3125,16960.25,16960.25
610,0.404296875,|,10.648964896798134,0.08447843790054321,0.021192461252212524,4.055216580629349,4.171436369419098,|,213668.5625,213668.5625,18427.6875,17470.125,17470.125
620,0.4306703397612488,|,12.088104769587517,0.08604243397712708,0.023668289184570312,4.5416513830423355,4.645424053072929,|,206605.625,206605.625,18407.9375,17343.75,17343.75
630,0.42148760330578516,|,12.41105242073536,0.08994688093662262,0.02370058000087738,4.691249683499336,4.808785393834114,|,221217.3125,221217.3125,19162.125,18114.75,18114.75
