NUM_AGENTS,PercentSpaceEmpty,|,ADG_Time,SAGE_TIME,FORTED_TIME,MAGE_TIME,|,ADG_Comms,SAGE_Comms,FORTED_Comms,MAGE_Comms
480,0.34156378600823045,|,3867.707234787941,1.0637757563591004,0.6240091466903687,1.867665066719055,|,127686.57,127686.57,12754.41,12023.53
490,0.3278463648834019,|,3717.204238879681,1.0699621939659119,0.6141881823539734,1.840384180545807,|,131549.82,131549.82,12832.53,12126.02
500,0.31412894375857336,|,3893.1228990125655,1.1251630592346191,0.6352360033988953,1.9100394248962402,|,141523.62,141523.62,13422.92,12715.78
510,0.3004115226337448,|,4302.679549958706,1.1752905774116515,0.6516022253036499,2.0342003083229065,|,136886.72,136886.72,13450.86,12664.19
520,0.33673469387755106,|,4463.727887301445,1.2202167701721192,0.6566368174552918,2.0886887431144716,|,148327.08,148327.08,14098.37,13310.11
530,0.32397959183673475,|,4703.7006503582,1.2411478638648987,0.6778208017349243,2.1444924902915954,|,156982.61,156982.61,14567.78,13782.74
540,0.3112244897959183,|,4977.778219206333,1.31295902967453,0.707861795425415,2.259169890880585,|,167997.25,167997.25,15167.81,14384.51
550,0.34601664684898925,|,5305.354303629399,1.322151095867157,0.7452022171020508,2.3541223120689394,|,160993.75,160993.75,15137.7,14283.1
560,0.3341260404280618,|,5697.314320628643,1.385182650089264,0.7898349499702454,2.464783308506012,|,173058.03,173058.03,15782.79,14922.45
570,0.3222354340071344,|,5854.200059194565,1.415911407470703,0.818255500793457,2.5504192423820498,|,184441.12,184441.12,16437.39,15580.63
580,0.31034482758620685,|,6261.79266096592,1.443891613483429,0.8746672439575195,2.6734558939933777,|,178561.72,178561.72,16453.16,15511.19
590,0.34444444444444444,|,6597.012732958794,1.5265009260177613,0.9277504849433899,2.8584290242195127,|,191900.64,191900.64,17231.41,16278.22
600,0.33333333333333337,|,7086.29217502594,1.56104243516922,0.9510421681404114,2.939752597808838,|,202926.5,202926.5,17834.88,16888.82
610,0.3222222222222222,|,7307.5397156190875,1.6046654558181763,0.9758840584754944,3.0162556958198548,|,214054.95,214054.95,18345.1,17401.78
620,0.3111111111111111,|,7677.782736256123,1.6567613434791566,1.0156668877601625,3.2238293170928953,|,209900.08,209900.08,18494.03,17451.1
